title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1
Space Pirate Captain Harlock,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,57.12434,Toei Animation Company,,Jeannette Maher-Manifold,Shinji Aramaki,,Shun Oguri,Haruma Miura
The Royal Tenenbaums,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3,340.19642857142856,Touchstone Pictures,,Steven Simons,Wes Anderson,Dylan Tichenor,Gene Hackman,Anjelica Huston
Identity,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",3,300.86512,Konrad Pictures,Columbia Pictures Corporation,Katharine Kremp,James Mangold,David Brenner,John Cusack,Ray Liotta
Last Vegas,"[{""id"": 35, ""name"": ""Comedy""}]",3,480.00875,Laurence Mark Productions,CBS Films,Matt Leonetti,Jon Turteltaub,,Robert De Niro,Morgan Freeman
For Your Eyes Only,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",4,697.5457214285714,United Artists,Eon Productions,Michael G. Wilson,John Glen,John Grover,Roger Moore,Carole Bouquet
Serendipity,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,276.84394285714285,Miramax Films,Tapestry Films,Janice Miller,Peter Chelsom,Christopher Greenbury,John Cusack,Kate Beckinsale
Timecop,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",3,376.4688185185185,Universal Pictures,Renaissance Pictures,Christine Wilson,Peter Hyams,Steven Kemper,Jean-Claude Van Damme,Mia Sara
Zoolander,"[{""id"": 35, ""name"": ""Comedy""}]",2,217.07493214285716,Paramount Pictures,Village Roadshow Pictures,Christopher Emerson,Ben Stiller,Greg Hayden,Ben Stiller,Owen Wilson
Safe Haven,"[{""id"": 10749, ""name"": ""Romance""}]",3,348.5505,Temple Hill Productions,Relativity Media,Gage Lansky,Lasse Hallström,Andrew Mondshein,Julianne Hough,Josh Duhamel
Hocus Pocus,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2,141.123975,Walt Disney Pictures,,Ray Fisher,Kenny Ortega,Peter E. Berger,Bette Midler,Sarah Jessica Parker
No Reservations,"[{""id"": 35, ""name"": ""Comedy""}]",3,330.71803571428575,Village Roadshow Pictures,Castle Rock Entertainment,Melissa Toth,Scott Hicks,Pip Karmel,Catherine Zeta-Jones,Aaron Eckhart
Kick-Ass,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",3,343.53179642857145,Lionsgate,Marv Films,Tamsin Jeffrey,Matthew Vaughn,Eddie Hamilton,Aaron Taylor-Johnson,Chloë Grace Moretz
30 Minutes or Less,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2,144.8122857142857,Columbia Pictures,,Michael Diliberti,Ruben Fleischer,,Jesse Eisenberg,Danny McBride
Dracula 2000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",2,117.85834642857142,Neo Art & Logic,Dimension Films,Courtney Gross,Patrick Lussier,Peter Devaney Flanagan,Gerard Butler,Christopher Plummer
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",3,359.47910357142854,Walt Disney Pictures,21 Laps Entertainment,Amol Parulekar,Miguel Arteta,Pamela Martin,Steve Carell,Jennifer Garner
Pride & Prejudice,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,432.6712392857143,Universal Pictures,StudioCanal,Sarah Love,Joe Wright,Paul Tothill,Keira Knightley,Matthew Macfadyen
Blade Runner,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2,118.35577857142856,Shaw Brothers,Warner Bros.,Robert C. Thomas,Ridley Scott,Marsha Nakashima,Harrison Ford,Rutger Hauer
Rob Roy,"[{""id"": 12, ""name"": ""Adventure""}]",2,112.84611071428571,United Artists,Talisman Productions,Peter Broughan,Michael Caton-Jones,Peter Honess,Liam Neeson,Jessica Lange
3 Days to Kill,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,187.84999642857144,Wonderland Sound and Vision,EuropaCorp,Marija Markovic,McG,Audrey Simonaud,Kevin Costner,Amber Heard
We Own the Night,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",3,261.5566,Columbia Pictures,Industry Entertainment,Gayle Vangrofsky,James Gray,John Axelrad,Joaquin Phoenix,Eva Mendes
Winged Migration,"[{""id"": 99, ""name"": ""Documentary""}]",1,56.367747225906186,Bac Films,Pandora Filmproduktion,Olli Barbé,Jacques Perrin,Marie-Josèphe Yoyotte,Philippe Labro,Jacques Perrin
Just My Luck,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",2,136.285375,Regency Enterprises,Cheyenne Enterprises,Harold Parker,Donald Petrie,Debra Neil-Fisher,Lindsay Lohan,Samaire Armstrong
"Mystery, Alaska","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",1,31.743367857142857,Hollywood Pictures,,Sean O'Byrne,Jay Roach,,Russell Crowe,Hank Azaria
The Spy Next Door,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2,161.55908214285714,Robert Simonds Productions,Relativity Media,James Greer,Brian Levant,,Amber Valletta,Lucas Till
A Simple Wish,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1,29.80377142857143,Universal Pictures,The Bubble Factory,Jeff Rothberg,Michael Ritchie,,Martin Short,Kathleen Turner
Ghosts of Mars,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,50.03868571428571,Screen Gems,Storm King Productions,Enid Arias,John Carpenter,Paul C. Warschilka,Natasha Henstridge,Ice Cube
Our Brand Is Crisis,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1,25.008075,Participant Media,Smokehouse Pictures,César Morón,David Gordon Green,Colin Patton,Sandra Bullock,Anthony Mackie
Pride and Prejudice and Zombies,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",1,58.47974285714286,Lionsgate,Handsomecharlie Films,Chris Murphy,Burr Steers,,Lily James,Sam Riley
Kundun,"[{""id"": 18, ""name"": ""Drama""}]",1,20.30281785714286,Touchstone Pictures,,Clive Winter,Martin Scorsese,Thelma Schoonmaker,Tenzin Thuthob Tsarong,Tencho Gyalpo
How to Lose Friends & Alienate People,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",1,64.02332962962963,UK Film Council,Intandem Films,Jo Fernihough,Robert B. Weide,David Freeman,Kelan Pannell,Janette Scott
Kick-Ass 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",2,216.78571428571428,Universal Pictures,Marv Films,Sarah Campbell,Jeff Wadlow,Eddie Hamilton,Aaron Taylor-Johnson,Chloë Grace Moretz
Alatriste,"[{""id"": 28, ""name"": ""Action""}]",1,97.17480833333333,Twentieth Century Fox Film Corporation,Estudios Picasso,Carlota Pérez-Reverte,Agustín Díaz Yanes,José Salcedo,Viggo Mortensen,Elena Anaya
Brick Mansions,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2,246.06010357142858,Canal+,EuropaCorp,Henri Deneubourg,Camille Delamarre,Arthur Tarnowski,Paul Walker,David Belle
Octopussy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",4,681.8181818181819,Eon Productions,,Michael G. Wilson,John Glen,Henry Richardson,Roger Moore,Maud Adams
Knocked Up,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",4,730.25506,Universal Pictures,Apatow Productions,Loudon Wainwright III,Judd Apatow,Brent White,Seth Rogen,Katherine Heigl
My Sister's Keeper,"[{""id"": 18, ""name"": ""Drama""}]",3,319.0495833333333,Mark Johnson Productions,Gran Via Productions,Steven Posen,Nick Cassavetes,Jim Flynn,Cameron Diaz,Alec Baldwin
Welcome Home Roscoe Jenkins,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2,124.71652857142857,Universal Pictures,Spyglass Entertainment,Malcolm D. Lee,Malcolm D. Lee,,Martin Lawrence,James Earl Jones
A Passage to India,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}]",3,339.8456625,Columbia Pictures,EMI Films Ltd.,E.M. Forster,David Lean,,Judy Davis,Alec Guinness
Notes on a Scandal,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,329.79936,Fox Searchlight Pictures,Scott Rudin Productions,Zoe Heller,Richard Eyre,Antonia Van Drimmelen,Judi Dench,Cate Blanchett
Rendition,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,89.99516363636364,Anonymous Content,Level 1 Entertainment,Molly Stern-Schlusse,Gavin Hood,Megan Gill,Omar Metwally,Reese Witherspoon
Star Trek VI: The Undiscovered Country,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",3,358.8888888888889,Paramount Pictures,,Ronald Roose,Nicholas Meyer,Ronald Roose,William Shatner,Leonard Nimoy
Kiss the Girls,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,224.17730740740743,Paramount Pictures,Rysher Entertainment,Jane Shannon-Smith,Gary Fleder,Harvey Rosenstock,Morgan Freeman,Ashley Judd
The Blues Brothers,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",3,426.77737037037036,Universal Pictures,,Mako Koiwai,John Landis,George Folsey Jr.,Dan Aykroyd,John Belushi
The Sisterhood of the Traveling Pants 2,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",2,164.26821111111113,,,Sanaa Hamri,Sanaa Hamri,,Alexis Bledel,Amber Tamblyn
About a Boy,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,477.77777777777777,Universal Pictures,,Badly Drawn Boy,Paul Weitz,Nick Moore,Hugh Grant,Nicholas Hoult
Lake Placid,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,210.63116296296295,Fox 2000 Pictures,Phoenix Pictures,Darryl Foulds,Steve Miner,Marshall Harvey,Bill Pullman,Bridget Fonda
Lucky Number Slevin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",2,208.55141111111112,The Weinstein Company,FilmEngine,Jason Smilovic,Paul McGuigan,Andrew Hulme,Josh Hartnett,Bruce Willis
The Right Stuff,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",1,79.62962962962963,Warner Bros.,The Ladd Company,David MacMillan,Philip Kaufman,Douglas Stewart,Fred Ward,Dennis Quaid
Anonymous,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",1,51.31695666666667,Columbia Pictures,Centropolis Entertainment,John Orloff,Roland Emmerich,,Jamie Campbell Bower,Rhys Ifans
The NeverEnding Story,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",1,74.66225185185185,Producers Sales Organization,Bavaria Film,Klaus Kähler,Wolfgang Petersen,Jane Seitz,Barret Oliver,Gerald McRaney
Dark City,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,100.74191111111111,New Line Cinema,Mystery Clock Cinema,Gareth Vanderhope,Alex Proyas,Dov Hoenig,Rufus Sewell,William Hurt
Return to Oz,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1,44.551204,Silver Screen Partners II,Oz Productions Ltd.,Stan Witt,Walter Murch,Leslie Hodgson,Fairuza Balk,Nicol Williamson
The Newton Boys,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",3,281.48148148148147,Twentieth Century Fox Film Corporation,Detour Filmproduction,Claude Stanush,Richard Linklater,,Matthew McConaughey,Skeet Ulrich
Case 39,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,107.40740740740742,Paramount Vantage,Anonymous Content,Danny McWilliams,Christian Alvart,Mark Goldblatt,Renée Zellweger,Jodelle Ferland
Suspect Zero,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1,48.148148148148145,Paramount Pictures,Cruise/Wagner Productions,Judi Townsend,E. Elias Merhige,John Gilroy,Carrie-Anne Moss,Aaron Eckhart
Spy Kids: All the Time in the World,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}]",3,316.90485185185184,Dimension Films,,Tom Proper,Robert Rodriguez,Dan Zimmerman,Jessica Alba,Mason Cook
Money Monster,"[{""id"": 53, ""name"": ""Thriller""}]",3,345.4911259259259,TriStar Pictures,Sony Pictures Releasing,Dominic Lewis,Jodie Foster,Matt Chesse,George Clooney,Julia Roberts
The 51st State,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1,50.0,Film Council,Alliance Atlantis Communications,Victoria Wood,Ronny Yu,David Wu,Samuel L. Jackson,Robert Carlyle
Mindhunters,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1,78.3289962962963,Avenue Pictures Productions,Weed Road Pictures,Nick Ingman,Renny Harlin,Neil Farrell,LL Cool J,Jonny Lee Miller
What Just Happened,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1,26.693687999999998,2929 Productions,Linson Entertainment,Marcelo Zarvos,Barry Levinson,,Bruce Willis,Robert De Niro
Paul Blart: Mall Cop,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",4,704.9735807692308,Columbia Pictures,Happy Madison Productions,Joe Piasecki,Steve Carr,Jeff Freeman,Kevin James,Keir O'Donnell
Freaky Friday,"[{""id"": 35, ""name"": ""Comedy""}]",3,423.9628153846154,Walt Disney Pictures,Gunn Films,Dawn Ascher-Trevino,Mark Waters,Bruce Green,Jamie Lee Curtis,Lindsay Lohan
The 40 Year Old Virgin,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,420.9586038461539,Universal Pictures,Apatow Productions,Lyle Workman,Judd Apatow,Brent White,Steve Carell,Catherine Keener
Shakespeare in Love,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 36, ""name"": ""History""}]",5,1157.271176,Miramax Films,Universal Pictures,David Gamble,John Madden,David Gamble,Joseph Fiennes,Gwyneth Paltrow
A Walk Among the Tombstones,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,189.93428571428572,Double Feature Films,Jersey Films,Ryan Smith,Scott Frank,Jill Savitt,Liam Neeson,Dan Stevens
Kindergarten Cop,"[{""id"": 35, ""name"": ""Comedy""}]",6,1346.3845866666666,Imagine Entertainment,Universal Pictures,Pamela Cederquist,Ivan Reitman,Wendy Greene Bricmont,Arnold Schwarzenegger,Penelope Ann Miller
Pineapple Express,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",3,376.3883074074074,Columbia Pictures,Apatow Productions,Tom Carson,David Gordon Green,Craig Alpert,Seth Rogen,James Franco
Ever After: A Cinderella Story,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",3,252.71450769230768,Twentieth Century Fox Film Corporation,,Keith Sewell,Andy Tennant,Roger Bondelli,Drew Barrymore,Dougray Scott
Open Range,"[{""id"": 37, ""name"": ""Western""}]",3,310.43769545454546,Tig Productions,Touchstone Pictures,Jackie Lind,Kevin Costner,Miklos Wright,Kevin Costner,Robert Duvall
Flatliners,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,236.49717307692305,Columbia Pictures Corporation,Stonebridge Entertainment,Bill Erickson,Joel Schumacher,Robert Brown,Kiefer Sutherland,Julia Roberts
A Bridge Too Far,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",2,230.68181818181816,United Artists,Joseph E. Levine Productions,Richard P. Levine,Richard Attenborough,Antony Gibbs,Dirk Bogarde,James Caan
Red Eye,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2,222.66078076923077,DreamWorks SKG,Craven-Maddalena Films,Jonny Winograd,Wes Craven,Patrick Lussier,Rachel McAdams,Cillian Murphy
Final Destination 2,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",3,347.79386538461534,New Line Cinema,Zide-Perry Productions,Greg Farmer,David R. Ellis,Eric A. Sears,Ali Larter,A.J. Cook
"O Brother, Where Art Thou?","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",3,276.4166423076923,Universal Pictures,Mike Zoss Productions,James Brown,Joel Coen,Tricia Cooke,George Clooney,John Turturro
Legion,"[{""id"": 27, ""name"": ""Horror""}]",3,261.2256076923077,Bold Films,,Sonny Surowiec,Scott Stewart,Steven Kemper,Paul Bettany,Dennis Quaid
Pain & Gain,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}]",3,344.701164,Paramount Pictures,De Line Pictures,Colleen Kelsall,Michael Bay,Tom Muldoon,Mark Wahlberg,Dwayne Johnson
Clockstoppers,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,149.20493461538462,Paramount Pictures,Nickelodeon Movies,David Mortimer,Jonathan Frakes,Jeff Canavan,Jesse Bradford,Paula Garcés
Brothers,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",2,166.60903461538462,Lionsgate,Relativity Media,Hilton Clay Peres,Jim Sheridan,Jay Cassidy,Tobey Maguire,Jake Gyllenhaal
Agent Cody Banks 2: Destination London,"[{""id"": 35, ""name"": ""Comedy""}]",2,110.84228846153846,Splendid Pictures,Maverick Films,Don Rhymer,Kevin Allen,,Frankie Muniz,Anthony Anderson
New Year's Eve,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,253.65113928571427,New Line Cinema,,Katherine Fugate,Garry Marshall,,Robert De Niro,Katherine Heigl
Original Sin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",1,84.2912380952381,Metro-Goldwyn-Mayer (MGM),,Todd Bozung,Michael Cristofer,Eric A. Sears,Angelina Jolie,Antonio Banderas
The Raven,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",2,114.06827307692309,Relativity Media,,Lucas Vidal,James McTeigue,Niven Howie,John Cusack,Luke Evans
Welcome to Mooseport,"[{""id"": 35, ""name"": ""Comedy""}]",1,46.666666666666664,Twentieth Century Fox Film Corporation,Intermedia Films,Michael Shocrylas,Donald Petrie,Debra Neil-Fisher,Ray Romano,Gene Hackman
Highlander: The Final Dimension,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,141.53846153846155,Trans-Film,Initial Groupe,Andrew Morahan,Andrew Morahan,,Christopher Lambert,Mario Van Peebles
Flipper,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",1,78.65264394829612,Universal Pictures,The Bubble Factory,Alan Shapiro,Alan Shapiro,,Elijah Wood,Paul Hogan
Self/less,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,117.39702307692308,Endgame Entertainment,Ram Bergman Productions,Joe Iemola,Tarsem Singh,Robert Duffy,Ryan Reynolds,Ben Kingsley
The Constant Gardener,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",3,329.86668,Studio Babelsberg,Epsilon Motion Pictures,John Chavanga,Fernando Meirelles,Claire Simpson,Ralph Fiennes,Rachel Weisz
The Passion of the Christ,"[{""id"": 18, ""name"": ""Drama""}]",6,2039.6647333333335,Icon Productions,Twentieth Century Fox Film Corporation,Mehrdad Arabi,Mel Gibson,John Wright,Jim Caviezel,Maia Morgenstern
Mrs. Doubtfire,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",6,1765.14478,Twentieth Century Fox Film Corporation,Blue Wolf,Silvia Pompei,Chris Columbus,Raja Gosnell,Robin Williams,Sally Field
Rain Man,"[{""id"": 18, ""name"": ""Drama""}]",6,1651.2,United Artists,Star Partners II Ltd.,Lare Roberts,Barry Levinson,Stu Linder,Dustin Hoffman,Tom Cruise
Gran Torino,"[{""id"": 18, ""name"": ""Drama""}]",4,818.0552363636364,Village Roadshow Pictures,Malpaso Productions,Dave Johannson,Clint Eastwood,Gary D. Roach,Clint Eastwood,Christopher Carley
W.,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2,117.55563346613546,Ixtlan Productions,Emperor Motion Pictures,Stanley Weiser,Oliver Stone,,Josh Brolin,Elizabeth Banks
Taken,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",5,907.322272,Twentieth Century Fox Film Corporation,M6 Films,Régis Desissert,Pierre Morel,Frédéric Thoraval,Liam Neeson,Famke Janssen
The Best of Me,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,138.1777423076923,Relativity Media,,J. Mills Goodloe,Michael Hoffman,,Michelle Monaghan,James Marsden
The Bodyguard,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",6,1644.0269600000001,Tig Productions,Warner Bros.,Sean Cheesman,Mick Jackson,Donn Cambern,Whitney Houston,Kevin Costner
Schindler's List,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",6,1460.7525772727274,Universal Pictures,Amblin Entertainment,Anne Marie Stein,Steven Spielberg,Michael Kahn,Liam Neeson,Ben Kingsley
The Help,"[{""id"": 18, ""name"": ""Drama""}]",3,497.088496,DreamWorks SKG,1492 Pictures,Khris Bennett,Tate Taylor,Hughes Winborne,Emma Stone,Viola Davis
The Fifth Estate,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,30.553599999999996,DreamWorks SKG,Participant Media,Josh Singer,Bill Condon,,Benedict Cumberbatch,Daniel Brühl
Freddy vs. Jason,"[{""id"": 27, ""name"": ""Horror""}]",3,383.0294333333333,New Line Cinema,Cecchi Gori Group Tiger Cinematografica,Lea Lambert,Ronny Yu,Mark Stevens,Robert Englund,Ken Kirzinger
Jimmy Neutron: Boy Genius,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,323.74492799999996,Nickelodeon Movies,Universal Cartoon Studios,Brett Paton,John A. Davis,Jon Price,Debi Derryberry,Megan Cavanagh
Cloverfield,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",4,683.056104,Paramount Pictures,Bad Robot,Kris Cole,Matt Reeves,Kevin Stitt,Lizzy Caplan,Jessica Lucas
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,312.0,New Line Cinema,Golden Harvest Company,Geoffrey S. Grimsman,Michael Pressman,Steve Mirkovich,Paige Turco,David Warner
